Id,SalePrice
1461,144394.18
1462,146123.44
1463,184207.93
1464,197318.38
1465,190812.91
1466,186218.32
1467,174415.92
1468,180569.68
1469,168860.14
1470,136607.93
1471,213351.72
1472,102062.57
1473,100765.99
1474,142705.21
1475,134076.68
1476,383031.86
1477,237777.41
1478,324046.85
1479,293258.55
1480,387387.97
1481,253615.45
1482,206532.78
1483,219161.66
1484,184420.64
1485,196869.97
1486,209123.84
1487,241384.95
1488,217557.79
1489,221804.12
1490,253756.21
1491,207797.79
1492,111702.09
1493,162487.73
1494,245345.59
1495,246989.55
1496,222399.87
1497,223759.06
1498,163188.08
1499,164069.26
1500,172595.87
1501,168917.03
1502,215344.89
1503,265997.56
1504,223009.12
1505,214148.8
1506,169894.71
1507,245897.99
1508,166523.09
1509,181938.74
1510,150490.85
1511,143142.07
1512,141040.24
1513,141100.16
1514,125498.45
1515,130737.65
1516,122640.06
1517,155340.79
1518,131603.97
1519,227146.77
1520,144020.71
1521,142960.59
1522,146591.22
1523,131986.46
1524,125545.24
1525,130871.29
1526,135531.57
1527,123113.94
1528,126131.34
1529,132477.85
1530,151037.17
1531,109923.91
1532,122940.66
1533,135952.81
1534,138226.86
1535,125208.95
1536,124771.4
1537,77769.32
1538,166765.66
1539,146666.7
1540,92225.59
1541,113937.97
1542,132875.91
1543,139225.53
1544,110932.44
1545,130985.74
1546,120169.7
1547,128450.5
1548,128511.71
1549,130403.75
1550,134870.16
1551,103488.45
1552,130196.88
1553,150139.73
1554,136351.79
1555,149778.1
1556,152259.78
1557,111692.51
1558,127629.59
1559,122751.36
1560,137726.67
1561,126459.88
1562,135142.64
1563,133809.07
1564,152156.75
1565,162413.11
1566,179828.21
1567,103569.84
1568,221406.72
1569,139990.04
1570,139896.74
1571,125978.72
1572,139156.77
1573,249530.0
1574,118296.97
1575,239970.49
1576,235832.69
1577,210334.67
1578,137077.62
1579,134059.23
1580,201716.27
1581,197983.73
1582,131775.54
1583,260724.26
1584,212544.85
1585,140978.9
1586,105432.29
1587,125311.71
1588,153040.62
1589,120667.27
1590,145353.99
1591,124249.87
1592,100027.64
1593,126586.01
1594,119167.86
1595,120319.6
1596,191716.08
1597,142884.24
1598,207804.34
1599,211083.02
1600,163249.26
1601,101062.63
1602,133932.63
1603,91270.82
1604,289313.79
1605,217795.85
1606,162011.92
1607,147417.29
1608,224377.66
1609,202109.36
1610,178855.31
1611,136069.41
1612,221161.01
1613,144682.13
1614,98031.85
1615,91040.34
1616,94658.6
1617,94221.95
1618,131389.49
1619,154272.03
1620,166477.19
1621,193931.25
1622,144307.9
1623,246532.03
1624,277579.92
1625,125515.12
1626,157957.83
1627,182057.77
1628,214547.81
1629,174001.93
1630,255669.17
1631,249216.76
1632,226318.33
1633,186466.31
1634,217386.8
1635,180854.79
1636,179672.55
1637,195319.27
1638,173367.19
1639,157536.86
1640,206509.28
1641,154316.32
1642,238104.38
1643,231389.88
1644,221790.11
1645,173163.49
1646,163717.46
1647,145121.62
1648,129926.27
1649,158100.45
1650,127156.16
1651,127791.29
1652,103133.6
1653,99849.41
1654,142590.95
1655,140189.09
1656,144539.55
1657,139979.92
1658,142708.57
1659,131686.54
1660,138037.16
1661,365465.0
1662,344096.38
1663,372300.31
1664,421611.31
1665,269708.49
1666,340366.85
1667,357575.25
1668,398304.67
1669,288831.53
1670,356478.37
1671,269868.19
1672,318071.41
1673,225156.77
1674,233340.58
1675,201817.66
1676,207258.22
1677,220127.39
1678,387940.63
1679,336333.75
1680,315902.32
1681,266719.8
1682,306757.4
1683,195660.76
1684,178627.81
1685,191220.85
1686,192540.36
1687,197472.32
1688,207978.03
1689,191821.19
1690,202671.6
1691,201709.43
1692,239672.99
1693,196523.4
1694,184881.52
1695,173373.47
1696,209362.31
1697,179244.94
1698,269447.22
1699,299648.28
1700,281314.36
1701,232236.81
1702,224800.1
1703,199562.8
1704,243106.72
1705,263433.15
1706,387576.96
1707,228015.34
1708,209513.47
1709,241900.04
1710,213553.08
1711,282475.08
1712,249903.11
1713,216907.91
1714,226660.91
1715,225443.25
1716,201932.54
1717,187510.37
1718,149257.02
1719,229338.31
1720,213009.81
1721,166758.37
1722,158882.53
1723,157550.56
1724,211956.97
1725,226785.94
1726,198871.18
1727,166895.33
1728,203505.43
1729,196768.72
1730,128019.81
1731,127963.9
1732,122606.44
1733,128691.1
1734,138382.97
1735,166696.92
1736,131976.49
1737,203125.62
1738,242029.28
1739,167137.77
1740,220236.9
1741,186497.79
1742,166798.28
1743,168135.74
1744,305612.47
1745,185122.99
1746,165775.66
1747,197032.37
1748,172856.97
1749,165394.78
1750,129892.87
1751,217221.48
1752,132857.06
1753,139900.72
1754,186910.2
1755,171161.88
1756,129880.33
1757,128819.54
1758,139283.65
1759,144393.41
1760,143086.26
1761,130017.18
1762,172226.43
